age,gender,db_id,id,word,judgment
5,girl,10588,56,ball,3
5,girl,10588,56,car,1
5,girl,10588,56,infAge,4
5,girl,10588,56,stairs,6
5,girl,10702,58,artichoke,1
5,girl,10702,58,ball,6
5,girl,10702,58,car,1
5,girl,10702,58,infAge,3
5,girl,10702,58,stairs,1
5,girl,6974,61,artichoke,1
5,girl,6974,61,ball,6
5,girl,6974,61,car,1
5,girl,6974,61,infAge,3
5,girl,6974,61,stairs,6
5,girl,8041,1,artichoke,3
5,girl,8041,1,ball,5
5,girl,8041,1,car,1
5,girl,8041,1,infAge,3
5,girl,8041,1,stairs,6
5,girl,8302,41,artichoke,1
5,girl,8302,41,ball,4
5,girl,8302,41,car,1
5,girl,8302,41,stairs,2
5,girl,9127,62,artichoke,2
5,girl,9127,62,ball,4
5,girl,9127,62,car,1
5,girl,9127,62,infAge,2
5,girl,9127,62,stairs,4
5,girl,9678,42,artichoke,1
5,girl,9678,42,ball,6
5,girl,9678,42,car,1
5,girl,9678,42,infAge,5
5,girl,9678,42,stairs,6
6,boy,10295,13,artichoke,1
6,boy,10295,13,ball,5
6,boy,10295,13,car,1
6,boy,10295,13,infAge,3
6,boy,10295,13,stairs,6
6,boy,11726,45,artichoke,1
6,boy,11726,45,ball,6
6,boy,11726,45,car,1
6,boy,11726,45,infAge,3
6,boy,11726,45,stairs,1
6,boy,6905,29,artichoke,1
6,boy,6905,29,ball,2
6,boy,6905,29,car,1
6,boy,6905,29,infAge,5
6,boy,6905,29,stairs,6
6,boy,6939,60,artichoke,2
6,boy,6939,60,ball,6
6,boy,6939,60,car,1
6,boy,6939,60,infAge,3
6,boy,6939,60,stairs,6
6,boy,9692,65,artichoke,1
6,boy,9692,65,ball,5
6,boy,9692,65,car,1
6,boy,9692,65,infAge,3
6,boy,9692,65,stairs,6
6,boy,RP-0248,49,artichoke,1
6,boy,RP-0248,49,ball,6
6,boy,RP-0248,49,car,1
6,boy,RP-0248,49,infAge,3
6,boy,RP-0248,49,stairs,1
6,girl,10815,68,artichoke,1
6,girl,10815,68,ball,6
6,girl,10815,68,car,1
6,girl,10815,68,stairs,6
6,girl,5913,32,artichoke,1
6,girl,5913,32,ball,4
6,girl,5913,32,car,4
6,girl,5913,32,infAge,3
6,girl,5913,32,stairs,6
6,girl,6392,63,artichoke,2
6,girl,6392,63,ball,5
6,girl,6392,63,car,1
6,girl,6392,63,infAge,3
6,girl,6392,63,stairs,4
6,girl,8856,25,artichoke,1
6,girl,8856,25,ball,5
6,girl,8856,25,car,1
6,girl,8856,25,infAge,3
6,girl,8856,25,stairs,6
6,girl,9179,39,artichoke,1
6,girl,9179,39,ball,6
6,girl,9179,39,car,1
6,girl,9179,39,infAge,1
6,girl,9179,39,stairs,6
6,girl,RP-0273,67,artichoke,3
6,girl,RP-0273,67,ball,5
6,girl,RP-0273,67,car,1
6,girl,RP-0273,67,infAge,4
6,girl,RP-0273,67,stairs,1
6,girl,RP-0274,66,artichoke,3
6,girl,RP-0274,66,ball,5
6,girl,RP-0274,66,car,3
6,girl,RP-0274,66,infAge,3
6,girl,RP-0274,66,stairs,2
7,boy,8040,2,artichoke,1
7,boy,8040,2,ball,4
7,boy,8040,2,car,1
7,boy,8040,2,infAge,4
7,boy,8040,2,stairs,6
7,boy,8234,8,artichoke,2
7,boy,8234,8,ball,5
7,boy,8234,8,car,1
7,boy,8234,8,infAge,3
7,boy,8234,8,stairs,3
7,boy,9245,24,artichoke,1
7,boy,9245,24,ball,6
7,boy,9245,24,car,1
7,boy,9245,24,infAge,2
7,boy,9245,24,stairs,2
7,boy,RP-0226,31,artichoke,2
7,boy,RP-0226,31,ball,6
7,boy,RP-0226,31,car,1
7,boy,RP-0226,31,stairs,5
7,girl,11703,19,artichoke,1
7,girl,11703,19,ball,5
7,girl,11703,19,car,1
7,girl,11703,19,infAge,3
7,girl,11703,19,stairs,2
7,girl,4921,34,artichoke,1
7,girl,4921,34,ball,5
7,girl,4921,34,car,1
7,girl,4921,34,stairs,4
7,girl,6338,7,artichoke,2
7,girl,6338,7,ball,5
7,girl,6338,7,car,1
7,girl,6338,7,infAge,3
7,girl,6338,7,stairs,5
7,girl,7289,12,artichoke,1
7,girl,7289,12,ball,6
7,girl,7289,12,car,1
7,girl,7289,12,infAge,3
7,girl,7289,12,stairs,1
7,girl,7862,40,artichoke,2
7,girl,7862,40,ball,6
7,girl,7862,40,car,1
7,girl,7862,40,infAge,2
7,girl,7862,40,stairs,5
7,girl,8233,9,artichoke,2
7,girl,8233,9,ball,5
7,girl,8233,9,car,1
7,girl,8233,9,infAge,4
7,girl,8233,9,stairs,4
7,girl,8965,17,artichoke,1
7,girl,8965,17,ball,5
7,girl,8965,17,car,1
7,girl,8965,17,infAge,3
7,girl,8965,17,stairs,5
7,girl,9009,15,artichoke,1
7,girl,9009,15,ball,5
7,girl,9009,15,car,1
7,girl,9009,15,stairs,5
8,boy,10518,47,artichoke,1
8,boy,10518,47,ball,6
8,boy,10518,47,car,1
8,boy,10518,47,infAge,3
8,boy,10518,47,stairs,3
8,boy,4524,5,artichoke,1
8,boy,4524,5,ball,2
8,boy,4524,5,car,1
8,boy,4524,5,stairs,6
8,boy,4640,10,artichoke,1
8,boy,4640,10,ball,5
8,boy,4640,10,car,1
8,boy,4640,10,infAge,3
8,boy,4640,10,stairs,6
8,boy,4710,52,artichoke,1
8,boy,4710,52,ball,5
8,boy,4710,52,car,1
8,boy,4710,52,stairs,4
8,boy,4875,36,artichoke,1
8,boy,4875,36,ball,1
8,boy,4875,36,car,6
8,boy,4875,36,infAge,100
8,boy,4875,36,stairs,4
8,boy,8552,51,artichoke,1
8,boy,8552,51,ball,5
8,boy,8552,51,car,1
8,boy,8552,51,infAge,2
8,boy,8552,51,stairs,1
8,boy,RP-0221,22,artichoke,2
8,boy,RP-0221,22,ball,5
8,boy,RP-0221,22,car,1
8,boy,RP-0221,22,infAge,4
8,boy,RP-0221,22,stairs,5
8,girl,10175,3,artichoke,1
8,girl,10175,3,ball,5
8,girl,10175,3,car,1
8,girl,10175,3,infAge,3
8,girl,10175,3,stairs,5
8,girl,4593,20,artichoke,1
8,girl,4593,20,ball,6
8,girl,4593,20,car,1
8,girl,4593,20,infAge,4
8,girl,4593,20,stairs,1
8,girl,8857,27,artichoke,1
8,girl,8857,27,ball,6
8,girl,8857,27,car,1
8,girl,8857,27,infAge,2
8,girl,8857,27,stairs,6
8,girl,9058,46,artichoke,1
8,girl,9058,46,ball,6
8,girl,9058,46,car,1
8,girl,9058,46,stairs,5
8,girl,RP-0245,53,artichoke,1
8,girl,RP-0245,53,ball,6
8,girl,RP-0245,53,car,1
8,girl,RP-0245,53,infAge,4
8,girl,RP-0245,53,stairs,5
